ilce,tur,ad,dosya,longitude,latitude
BAYINDIR,MAHALLE,ÇINAR,BAYINDIR_ÇINAR_mahalle_siniri.kml,27.647113132374884,38.23043553536682
BAYINDIR,MAHALLE,ÇIPLAK,BAYINDIR_ÇIPLAK_mahalle_siniri.kml,27.55993682732107,38.175129495688466
BAYINDIR,MAHALLE,ÇIRPI,BAYINDIR_ÇIRPI_mahalle_siniri.kml,27.47661121297558,38.15382651916429
BAYINDIR,MAHALLE,ÇİFTÇİGEDİĞİ,BAYINDIR_ÇİFTÇİGEDİĞİ_mahalle_siniri.kml,27.50470540907819,38.19371652077688
BAYINDIR,MAHALLE,FURUNLU,BAYINDIR_FURUNLU_mahalle_siniri.kml,27.59716876721445,38.18753837789072
BAYINDIR,MAHALLE,GAZİLER,BAYINDIR_GAZİLER_mahalle_siniri.kml,27.76118329498962,38.23750297586738
BAYINDIR,MAHALLE,HACIBEŞİR,BAYINDIR_HACIBEŞİR_mahalle_siniri.kml,27.65137860683641,38.22395454946042
BAYINDIR,MAHALLE,HACIİBRAHİM,BAYINDIR_HACIİBRAHİM_mahalle_siniri.kml,27.626812360985806,38.22977415623227
BAYINDIR,MAHALLE,HASKÖY,BAYINDIR_HASKÖY_mahalle_siniri.kml,27.501953840431547,38.14061940467536
BAYINDIR,MAHALLE,HATAY,BAYINDIR_HATAY_mahalle_siniri.kml,27.631763232114505,38.22002041698863
BAYINDIR,MAHALLE,HAVUZBAŞI,BAYINDIR_HAVUZBAŞI_mahalle_siniri.kml,27.468236402153924,38.17270101399058
BAYINDIR,MAHALLE,HİSARLIK,BAYINDIR_HİSARLIK_mahalle_siniri.kml,27.658549160567397,38.29720396375208
BAYINDIR,İLÇE,BAYINDIR,BAYINDIR_ilce_siniri.kml,27.64314173836533,38.238107109473226
BAYINDIR,MAHALLE,KABAAĞAÇ,BAYINDIR_KABAAĞAÇ_mahalle_siniri.kml,27.746988899351557,38.272659325895916
BAYINDIR,MAHALLE,KARAHALLI,BAYINDIR_KARAHALLI_mahalle_siniri.kml,27.613071025199844,38.20697013210246
BAYINDIR,MAHALLE,KARAHAYIT,BAYINDIR_KARAHAYIT_mahalle_siniri.kml,27.75206082498862,38.24662534720788
BAYINDIR,MAHALLE,KARAPINAR,BAYINDIR_KARAPINAR_mahalle_siniri.kml,27.752307406440632,38.22578561068976
BAYINDIR,MAHALLE,KIZILCAAĞAÇ,BAYINDIR_KIZILCAAĞAÇ_mahalle_siniri.kml,27.63479599266279,38.24613869830596
BAYINDIR,MAHALLE,KIZILCAOVA,BAYINDIR_KIZILCAOVA_mahalle_siniri.kml,27.52264908842965,38.19880914134096
BAYINDIR,MAHALLE,KIZILKEÇİLİ,BAYINDIR_KIZILKEÇİLİ_mahalle_siniri.kml,27.775523115360887,38.30984645188815
BAYINDIR,MAHALLE,KIZILOBA,BAYINDIR_KIZILOBA_mahalle_siniri.kml,27.695199475481143,38.315051815795215
BAYINDIR,MAHALLE,KURT,BAYINDIR_KURT_mahalle_siniri.kml,27.64927048728389,38.22401971493889
BAYINDIR,MAHALLE,LUTUFLAR,BAYINDIR_LUTUFLAR_mahalle_siniri.kml,27.805413429656223,38.270357680191104
BAYINDIR,MAHALLE,MİTHATPAŞA,BAYINDIR_MİTHATPAŞA_mahalle_siniri.kml,27.647814574581442,38.22037540920734
BAYINDIR,MAHALLE,ORTA,BAYINDIR_ORTA_mahalle_siniri.kml,27.648241873295568,38.226119469682715
BAYINDIR,MAHALLE,OSMANLAR,BAYINDIR_OSMANLAR_mahalle_siniri.kml,27.5541815009725,38.308163601711776
BAYINDIR,MAHALLE,PINARLI,BAYINDIR_PINARLI_mahalle_siniri.kml,27.752631665713192,38.1881660027755
BAYINDIR,MAHALLE,SADIKPAŞA,BAYINDIR_SADIKPAŞA_mahalle_siniri.kml,27.63122715650065,38.19502461868031
BAYINDIR,MAHALLE,SARIYURT,BAYINDIR_SARIYURT_mahalle_siniri.kml,27.71963324392696,38.3028668325028
BAYINDIR,MAHALLE,SÖĞÜTÖREN,BAYINDIR_SÖĞÜTÖREN_mahalle_siniri.kml,27.577430539080286,38.23147532029081
BAYINDIR,MAHALLE,TOKATBAŞI,BAYINDIR_TOKATBAŞI_mahalle_siniri.kml,27.622128965912083,38.160369938386445
BAYINDIR,MAHALLE,TURAN,BAYINDIR_TURAN_mahalle_siniri.kml,27.67913051369073,38.21846884857108
BAYINDIR,MAHALLE,ALANKIYI,BAYINDIR_ALANKIYI_mahalle_siniri.kml,27.62763891132546,38.29774266711342
BAYINDIR,MAHALLE,ALANKÖY,BAYINDIR_ALANKÖY_mahalle_siniri.kml,27.780984203428687,38.25109327904709
BAYINDIR,MAHALLE,ARIKBAŞI,BAYINDIR_ARIKBAŞI_mahalle_siniri.kml,27.48440911638613,38.192703534755196
BAYINDIR,MAHALLE,BALCILAR,BAYINDIR_BALCILAR_mahalle_siniri.kml,27.579727013257898,38.28233314950121
BAYINDIR,MAHALLE,BIYIKLAR,BAYINDIR_BIYIKLAR_mahalle_siniri.kml,27.652646549655298,38.222790866893575
BAYINDIR,MAHALLE,BURUNCUK,BAYINDIR_BURUNCUK_mahalle_siniri.kml,27.711515325852826,38.18747186578791
BAYINDIR,MAHALLE,CAMİ,BAYINDIR_CAMİ_mahalle_siniri.kml,27.64675798961874,38.22448795179718
BAYINDIR,MAHALLE,CANLI,BAYINDIR_CANLI_mahalle_siniri.kml,27.55091999529138,38.19356004007813
BAYINDIR,MAHALLE,DEMİRCİLİK,BAYINDIR_DEMİRCİLİK_mahalle_siniri.kml,27.666496711213174,38.223208423147064
BAYINDIR,MAHALLE,DEREKÖY,BAYINDIR_DEREKÖY_mahalle_siniri.kml,27.67005887280146,38.25484085716143
